Code,Country,EDGAR Country Code,Income group,Lending category,Region,CSC Sector,CSC Subsector,Gas,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Waste,Waste - Wastewater Treatment,N2O,MtCO2e,0.172746083,0.180249066,0.191534671,0.208319201,0.217839696,0.224758926,0.233866751,0.244851346,0.257015637,0.268856524,0.279416919,0.288200112,0.294194481,0.307826,0.319425732,0.330659958,0.337933273,0.344673892,0.351027388,0.355982029,0.360256188,0.366175434,0.372191937
AGO,Angola,AGO,Lower middle income,IBRD,Africa Eastern and Southern,Agriculture,AG - Livestock,CH4,MtCO2e,5.10903932,5.111267762,5.036412499,4.959008887,4.84158696,5.262391834,5.388233348,5.517804448,5.651055111,5.786605906,5.929960437,6.070012574,6.215919113,6.366449095,6.519727914,6.669996923,6.743248024,6.757755257,6.824895299,6.833273095,6.912407553,6.960889679,7.009944467
AGO,Angola,AGO,Lower middle income,IBRD,Africa Eastern and Southern,Agriculture,AG - Livestock,N2O,MtCO2e,0.079643143,0.082265847,0.08941395,0.094130766,0.102055711,0.104906037,0.11539837,0.127104646,0.140103211,0.154147792,0.170775237,0.186598327,0.204492936,0.224268891,0.246127633,0.267964788,0.248130867,0.265615191,0.282932027,0.300056214,0.316144716,0.325780702,0.335728646
AGO,Angola,AGO,Lower middle income,IBRD,Africa Eastern and Southern,Agriculture,AG - Crops,CH4,MtCO2e,0.082951767,0.091341373,0.100085225,0.122075005,0.145332859,0.160430005,0.137509554,0.155758097,0.163146636,0.231635259,0.239940237,0.27115154,0.21043029,0.296009805,0.282872884,0.289374877,0.28095611,0.263812723,0.262404391,0.262923933,0.272274286,0.273673731,0.27259549
AGO,Angola,AGO,Lower middle income,IBRD,Africa Eastern and Southern,Agriculture,AG - Crops,N2O,MtCO2e,1.997082515,2.009336868,2.000648306,1.986975405,1.961366384,2.126963777,2.179113006,2.249254724,2.296012503,2.386731039,2.46672538,2.548284742,2.575792379,2.70670755,2.768295671,2.853954832,2.894039237,2.914958161,2.960624634,2.984524518,3.03692026,3.066678113,3.09543712
AGO,Angola,AGO,Lower middle income,IBRD,Africa Eastern and Southern,Energy,EN - Building,CH4,MtCO2e,1.202707358,1.216129176,1.230463459,1.242968752,1.255508905,1.26654285,1.292295119,1.316576273,1.341616266,1.366574441,1.390659944,1.415307514,1.4402555,1.466501534,1.488917676,1.509326697,1.529322685,1.549397984,1.569331006,1.591079064,1.609462334,1.648418968,1.647863106
AGO,Angola,AGO,Lower middle income,IBRD,Africa Eastern and Southern,Energy,EN - Building,CO2,MtCO2e,1.049581929,1.174963884,1.201202083,1.257596233,1.303094766,0.979148927,1.935184861,2.303288072,2.929524249,3.465456559,3.657068507,4.02406645,4.553691062,5.626277527,5.486913872,4.908060254,4.369992714,3.528748879,3.270783496,3.740875191,3.046076971,3.187754969,2.975237971
AGO,Angola,AGO,Lower middle income,IBRD,Africa Eastern and Southern,Energy,EN - Building,N2O,MtCO2e,0.142123443,0.143629649,0.145439697,0.146962463,0.148493978,0.149307108,0.154469181,0.158208124,0.162476138,0.166557327,0.17012922,0.173952254,0.177309828,0.183217603,0.185761819,0.186326651,0.187416937,0.186902818,0.188308049,0.191950285,0.192022907,0.196431325,0.196018961
AGO,Angola,AGO,Lower middle income,IBRD,Africa Eastern and Southern,Energy,EN - Electricity/Heat,CH4,MtCO2e,0.000640713,0.000725765,0.000725765,0.000868645,0.000553015,0.000649756,0.000735015,0.000827288,0.001171702,0.001882662,0.002003718,0.001886299,0.002693301,0.004036513,0.005844869,0.006363997,0.00416364,0.004145295,0.004118983,0.005398934,0.004628648,0.004931718,0.004555753
AGO,Angola,AGO,Lower middle income,IBRD,Africa Eastern and Southern,Energy,EN - Electricity/Heat,CO2,MtCO2e,0.728548257,0.820624941,0.820624941,1.027529378,0.653290442,0.767438501,0.868947244,0.976775142,1.385920144,2.226378355,2.369112625,2.22958687,2.699129479,3.993658097,5.669710662,6.130962386,4.198262929,4.071508881,4.020319825,4.613795057,3.908176895,4.133922984,3.834694018
